"Y","AroHI","AroHII","AroHI_p","AroJa","AroJb","AroJg","AroJb_p","TyrAp","TyrAc","TyrAx","PheAp","PheAc","TyrC","TyrT","TyrP","MhsT"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","1","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","1","1","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","1","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","0","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","1","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","1","0","0","1","0","0","1","0","0","0","0","0"
"0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0"
"1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","1","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","1","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","1","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","1","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","1","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"1","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0"
"1","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0"
"1","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0"
"1","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0"
"1","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0"
"1","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0"
"0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"1","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0"
"1","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0"
"1","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0"
"0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"1","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0"
"1","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0"
"0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"1","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0"
"1","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0"
"1","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0"
"0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"1","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0"
"1","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0"
"0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"1","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0"
"1","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0"
"1","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0"
"0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"1","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0"
"1","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0"
"0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"1","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0"
"1","1","0","0","1","0","0","0","0","0","1","1","0","0","1","0","0"
"0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0"
"1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0"
"1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0"
"1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"1","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0"
"1","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0"
"1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0"
